ID,WN,TOC,Code,URAed,SVH,health,f2,f1,f0,TGD,IODC,IODE,CRS,DeltaN,M0,CUC,e,CUS,A,TOES,FitInterval,CIC,OMG0,CIS,I0,CRC,OMG,OMGD,IDOT
G04,506,349520.0,1,14,36,0,2.3592239273284576e-15,2.483488970028702e-09,0.0006510415114462376,3.958120942115784e-08,853,126,-775.3125,7.353520589363188e-09,-2.4196577724127906,-1.383945345878601e-06,0.0012287263525649905,-3.177672624588013e-05,20394624.26693652,1031056.0,0.0,,,,,,,,
G26,506,349520.0,1,14,36,0,2.3592239273284576e-15,2.483488970028702e-09,0.0006510415114462376,3.958120942115784e-08,853,126,-775.3125,7.353520589363188e-09,-2.4196577724127906,-1.383945345878601e-06,0.0012287263525649905,-3.177672624588013e-05,20394624.26693652,1031056.0,0.0,,,,,,,,
G02,506,349520.0,1,14,36,0,2.3592239273284576e-15,2.483488970028702e-09,0.0006510415114462376,3.958120942115784e-08,853,126,-775.3125,7.353520589363188e-09,-2.4196577724127906,-1.383945345878601e-06,0.0012287263525649905,-3.177672624588013e-05,20394624.26693652,1031056.0,0.0,,,,,,,,
G27,506,349520.0,1,14,36,0,2.3592239273284576e-15,2.483488970028702e-09,0.0006510415114462376,3.958120942115784e-08,853,126,-775.3125,7.353520589363188e-09,-2.4196577724127906,-1.383945345878601e-06,0.0012287263525649905,-3.177672624588013e-05,20394624.26693652,1031056.0,0.0,,,,,,,,
G07,506,349520.0,1,14,36,0,2.3592239273284576e-15,2.483488970028702e-09,0.0006510415114462376,3.958120942115784e-08,853,126,-775.3125,7.353520589363188e-09,-2.4196577724127906,-1.383945345878601e-06,0.0012287263525649905,-3.177672624588013e-05,20394624.26693652,1031056.0,0.0,,,,,,,,
G03,506,349520.0,1,14,36,0,2.3592239273284576e-15,2.483488970028702e-09,0.0006510415114462376,3.958120942115784e-08,853,126,-775.3125,7.353520589363188e-09,-2.4196577724127906,-1.383945345878601e-06,0.0012287263525649905,-3.177672624588013e-05,20394624.26693652,1031056.0,0.0,6.037391722202301e-05,-2.8959627657076057,2.3651868104934692e-05,2.5519746925836233,20.21875,0.06440172953910935,1.1654235445685341e-07,-1.35827086314771e-09
G09,506,349520.0,1,14,36,0,2.3592239273284576e-15,2.483488970028702e-09,0.0006510415114462376,3.958120942115784e-08,853,126,-775.3125,7.353520589363188e-09,-2.4196577724127906,-1.383945345878601e-06,0.0012287263525649905,-3.177672624588013e-05,20394624.26693652,1031056.0,0.0,,,,,,,,
G21,506,349520.0,1,14,36,0,2.3592239273284576e-15,2.483488970028702e-09,0.0006510415114462376,3.958120942115784e-08,853,126,-775.3125,7.353520589363188e-09,-2.4196577724127906,-1.383945345878601e-06,0.0012287263525649905,-3.177672624588013e-05,20394624.26693652,1031056.0,0.0,,,,,,,,
G08,506,349520.0,1,14,36,0,2.3592239273284576e-15,2.483488970028702e-09,0.0006510415114462376,3.958120942115784e-08,853,126,-775.3125,7.353520589363188e-09,-2.4196577724127906,-1.383945345878601e-06,0.0012287263525649905,-3.177672624588013e-05,20394624.26693652,1031056.0,0.0,,,,,,,,
G16,506,349520.0,1,14,36,0,2.3592239273284576e-15,2.483488970028702e-09,0.0006510415114462376,3.958120942115784e-08,853,126,-775.3125,7.353520589363188e-09,-2.4196577724127906,-1.383945345878601e-06,0.0012287263525649905,-3.177672624588013e-05,20394624.26693652,1031056.0,0.0,,,,,,,,
G31,506,349520.0,1,14,36,0,2.3592239273284576e-15,2.483488970028702e-09,0.0006510415114462376,3.958120942115784e-08,853,126,-775.3125,7.353520589363188e-09,-2.4196577724127906,-1.383945345878601e-06,0.0012287263525649905,-3.177672624588013e-05,20394624.26693652,1031056.0,0.0,,,,,,,,
G01,506,349520.0,1,14,36,0,2.3592239273284576e-15,2.483488970028702e-09,0.0006510415114462376,3.958120942115784e-08,853,126,-775.3125,7.353520589363188e-09,-2.4196577724127906,-1.383945345878601e-06,0.0012287263525649905,-3.177672624588013e-05,20394624.26693652,1031056.0,0.0,,,,,,,,
G11,506,520704.0,1,11,35,1,2.3037127760972e-15,-3.6881147025269456e-09,-2.7688220143318176e-06,-2.0489096641540527e-08,294,,,,,,,,,,,,,,,,,,
G19,,,,,,,,,,,,12,,,,,,,,,,6.03552907705307e-05,-2.8959627657076057,2.3651868104934692e-05,2.5519746925836233,20.21875,0.06440172953910935,1.1654235445685341e-07,-1.35827086314771e-09
